,Phân Loại,Nhãn,Dữ Liệu,Nguồn Dữ Liệu,Link (Nếu Có),Thông Tin Thêm,Bản text,Price
64,Đào tạo đại học,Cố định,Ngành Công nghệ thông tin Hệ CLC,https://daotao.ptit.edu.vn/chuong-trinh-dao-tao/nganh-cong-nghe-thong-tin-he-clc/,,,,
65,Đào tạo đại học,Cố định,Ngành Kế toán,https://daotao.ptit.edu.vn/chuong-trinh-dao-tao/nganh-ke-toan/,,,,
66,Đào tạo đại học,Cố định,Ngành Quản trị kinh doanh,https://daotao.ptit.edu.vn/chuong-trinh-dao-tao/nganh-quan-tri-kinh-doanh/,,,,
67,Đào tạo đại học,Cố định,Ngành Thương mại điện tử,https://daotao.ptit.edu.vn/chuong-trinh-dao-tao/nganh-thuong-mai-dien-tu/,,,,
68,Đào tạo đại học,Cố định,Ngành Marketing,https://daotao.ptit.edu.vn/chuong-trinh-dao-tao/nganh-marketing/,,,,
69,Đào tạo đại học,Cố định,Ngành Truyền thông đa phương tiện,https://daotao.ptit.edu.vn/chuong-trinh-dao-tao/nganh-truyen-thong-da-phuong-tien/,,,,
70,Đào tạo đại học,Cố định,Ngành Công nghệ đa phương tiện,https://daotao.ptit.edu.vn/chuong-trinh-dao-tao/nganh-cong-nghe-da-phuong-tien/,,,,
71,Đào tạo đại học,Cố định,"Ngành Công nghệ kỹ thuật Điện, điện tử",https://daotao.ptit.edu.vn/chuong-trinh-dao-tao/nganh-cong-nghe-ky-thuat-dien-dien-tu/,,,,
72,Đào tạo đại học,Cố định,Ngành Kỹ thuật Điện tử viễn thông,https://daotao.ptit.edu.vn/chuong-trinh-dao-tao/nganh-ky-thuat-dien-tu-vien-thong/,,,,
73,Đào tạo đại học,Cố định,Ngành An toàn thông tin,https://daotao.ptit.edu.vn/chuong-trinh-dao-tao/nganh-an-toan-thong-tin/,,,,
